abortKey,CowKey,abortDate,Comment,ObservedFM,AbortionCause
1,340, 31/08/2015,Empty at PD,,
2,1534, 18/06/2015,Empty at PD,,
3,3689, 18/06/2015,Empty at PD,,
4,4238, 18/06/2015,Empty at PD,,
5,4317, 18/06/2015,Empty at PD,,
6,4583, 18/06/2015,Empty at PD,,
7,4907, 18/06/2015,Empty at PD,,
8,4994, 18/06/2015,Empty at PD,,
9,5133, 24/07/2015,Empty at PD,,
10,6266, 22/12/2015,Empty at PD,,
11,6431, 22/12/2015,Empty at PD,,
12,6474, 22/12/2015,Empty at PD,,
13,6679, 22/12/2015,Empty at PD,,
14,6872, 21/03/2016,Empty at PD,,
15,7445, 22/12/2015,Empty at PD,,
16,7446, 22/12/2015,Empty at PD,,
17,9012, 22/12/2015,Empty at PD,,
18,772, 18/06/2015,Empty at PD,,
19,4283, 19/03/2015,Empty at PD,,
20,4707, 23/12/2014,Empty at PD,,
21,4972, 19/03/2015,Empty at PD,,
22,5878, 19/03/2015,Empty at PD,,
23,6762, 18/06/2015,Empty at PD,,
24,6922, 18/06/2015,Empty at PD,,
25,6970, 18/06/2015,Empty at PD,,
26,7103, 18/06/2015,Empty at PD,,
27,7107, 18/06/2015,Empty at PD,,
28,7232, 18/06/2015,Empty at PD,,
29,1013, 19/03/2015,Empty at PD,,
30,4097, 23/12/2014,Empty at PD,,
31,4308, 19/03/2015,Empty at PD,,
32,6337, 18/06/2015,Empty at PD,,
33,6743, 19/03/2015,Empty at PD,,
34,7576, 24/09/2015,Empty at PD,,
35,7583, 24/09/2015,Empty at PD,,
36,7594, 24/09/2015,Empty at PD,,
37,6527, 23/09/2015,Empty at PD,,
38,6947, 23/09/2015,Empty at PD,,
39,6977, 23/09/2015,Empty at PD,,
40,7084, 23/09/2015,Empty at PD,,
41,7173, 23/09/2015,Empty at PD,,
42,7301, 23/09/2015,Empty at PD,,
43,7339, 23/09/2015,Empty at PD,,
44,7347, 23/09/2015,Empty at PD,,
45,7364, 23/09/2015,Empty at PD,,
46,7459, 23/09/2015,Empty at PD,,
47,8006, 24/09/2015,Empty at PD,,
48,8008, 24/09/2015,Empty at PD,,
49,8013, 24/09/2015,Empty at PD,,
50,8018, 24/09/2015,Empty at PD,,
51,1232, 21/03/2016,Empty at PD,,
52,3202, 21/03/2016,Empty at PD,,
53,4118, 21/03/2016,Empty at PD,,
54,4283, 21/03/2016,Empty at PD,,
55,4898, 21/03/2016,Empty at PD,,
56,5570, 21/03/2016,Empty at PD,,
57,5688, 21/03/2016,Empty at PD,,
58,5811, 21/03/2016,Empty at PD,,
59,7616, 21/03/2016,Empty at PD,,
60,7639, 21/03/2016,Empty at PD,,
61,7646, 21/03/2016,Empty at PD,,
62,7663, 21/03/2016,Empty at PD,,
63,7706, 21/03/2016,Empty at PD,,
64,7725, 21/03/2016,Empty at PD,,
65,7728, 21/03/2016,Empty at PD,,
66,7813, 21/03/2016,Empty at PD,,
67,6161, 21/03/2016,Empty at PD,,
68,6289, 24/07/2015,Empty at PD,,
69,6411, 21/03/2016,Empty at PD,,
70,6535, 21/03/2016,Empty at PD,,
71,6709, 21/03/2016,Empty at PD,,
72,6755, 21/03/2016,Empty at PD,,
73,6761, 21/03/2016,Empty at PD,,
74,8959, 21/03/2016,Empty at PD,,
