"diseaseKey","cowKey","disDate","disType","VF","Reason","Quarter","Comment"
1,212,"19/11/1998","DLAME","","FTROT","",""
3,338,"21/10/1998","DLAME","","BRUISE","",""
5,62,"19/10/1998","DLAME","","BRUISE","",""
7,463,"18/08/1998","DLAME","","FTROT","",""
9,339,"22/10/1998","DMISC","","WOODENTONGUE","",""
11,453,"3/08/1998","DMETAB","","MLKFEV","",""
13,387,"3/08/1998","DMETAB","","MLKFEV","",""
15,204,"4/08/1998","DMETAB","","MLKFEV","",""
16,395,"6/08/1998","DMETAB","","MLKFEV","",""
18,401,"11/08/1998","DMETAB","","MLKFEV","",""
20,342,"12/08/1998","DMETAB","","MLKFEV","",""
21,426,"18/08/1998","DMETAB","","MLKFEV","",""
22,296,"4/09/1998","DMETAB","","MLKFEV","",""
24,258,"5/09/1998","DMETAB","","MLKFEV","",""
26,655,"30/10/1998","DMISC","","SCOUR","",""
28,299,"2/08/1998","DMAST","","MASTACUTE","BRIGHT",""
32,295,"2/08/1998","DMAST","","MASTACUTE","FLEFT",""
33,372,"2/08/1998","DMAST","","MASTACUTE","MULTI",""
35,324,"2/08/1998","DMAST","","MASTACUTE","",""
36,291,"2/08/1998","DMAST","","MASTACUTE","",""
37,344,"2/08/1998","DMAST","","MASTACUTE","",""
38,18,"2/08/1998","DMAST","","MASTACUTE","",""
39,333,"2/08/1998","DMAST","","MASTACUTE","BRIGHT",""
41,220,"15/09/1998","DMAST","","MASTACUTE","FRIGHT",""
43,453,"23/09/1998","DMAST","","MASTACUTE","BLEFT",""
45,286,"23/09/1998","DMAST","","MASTACUTE","MULTI",""
47,674,"31/07/1998","DMAST","","MASTACUTE","BRIGHT",""
49,46,"11/08/1998","DMAST","","MASTACUTE","MULTI",""
50,261,"11/08/1998","DMAST","","MASTACUTE","MULTI",""
52,301,"19/08/1998","DMAST","","MASTACUTE","BRIGHT",""
54,244,"19/08/1998","DMAST","","MASTACUTE","",""
56,284,"18/08/1998","DMAST","","MASTACUTE","",""
58,49,"20/09/1998","DMAST","","MASTACUTE","BLEFT",""
60,332,"20/09/1998","DMAST","","MASTACUTE","BLEFT",""
62,323,"3/08/1998","DMAST","","MASTACUTE","FLEFT",""
63,403,"13/08/1998","DMETAB","","MLKFEV","",""
65,391,"30/03/1999","DMAST","","MASTACUTE","BLEFT",""
67,419,"30/03/1999","DMAST","","MASTACUTE","FLEFT",""
69,244,"12/04/1999","DLAME","","FTROT","",""
70,65,"12/04/1999","DLAME","","FTROT","",""
71,529,"12/04/1999","DLAME","","FTROT","",""
72,263,"12/04/1999","DLAME","","FTROT","",""
73,657,"12/04/1999","DLAME","","FTROT","",""
74,253,"26/04/1999","DLAME","","FTROT","",""
76,655,"29/04/1999","DLAME","","FTROT","",""
77,391,"27/04/1999","DLAME","","FTROT","",""
78,207,"29/04/1999","DLAME","","FTROT","",""
79,36,"29/04/1999","DLAME","","FTROT","",""
